"행정구역별(읍면동)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"상록구",355957,181580,174377,328995,167786,161209,26962,13794,13168,153091,142660,141,10290,116226,7470,48806,1205,58013,732,3564
"단원구",353190,185707,167483,287881,147708,140173,65309,37999,27310,151146,125368,195,25583,110963,7792,70525,7387,24618,641,11814
"고양시",1047592,510547,537045,1028880,501155,527725,18712,9392,9320,433277,427072,292,5913,352201,21364,278771,12574,37866,1626,47072
"덕양구",484424,237828,246596,477214,234480,242734,7210,3348,3862,205721,203461,124,2136,172800,10135,131369,6188,24238,870,17582
"일산동구",285959,138488,147471,279609,134987,144622,6350,3501,2849,119203,117087,123,1993,84474,7583,63504,4126,8818,443,22186
"일산서구",277209,134231,142978,272057,131688,140369,5152,2543,2609,108353,106524,45,1784,94927,3646,83898,2260,4810,313,7304
"과천시",76824,37778,39046,76414,37597,38817,410,181,229,27802,27702,6,94,24038,1607,19577,282,2476,96,1137
"구리시",183048,90355,92693,180863,89324,91539,2185,1031,1154,75083,74350,35,698,61146,4791,48287,2278,5334,456,3828
"남양주시",716123,355255,360868,704767,348778,355989,11356,6477,4879,279682,276687,237,2758,263186,17305,205643,12182,26463,1593,10886
"오산시",243832,126949,116883,225802,117483,108319,18030,9466,8564,105826,98406,73,7347,86035,5310,69509,1803,8833,580,3842
"시흥시",568455,300544,267911,506354,264254,242100,62101,36290,25811,238913,213014,175,25724,194636,7565,157020,1799,26943,1309,15240
"군포시",263939,130806,133133,253853,125766,128087,10086,5040,5046,109728,105892,68,3768,92266,3516,74911,1246,12150,443,5619
"의왕시",154788,76626,78162,153193,75870,77323,1595,756,839,60597,60145,37,415,58805,2329,48314,775,7165,222,1773
"하남시",320562,159393,161169,316857,157575,159282,3705,1818,1887,132244,131044,40,1160,100549,6018,90174,1372,2321,664,20496
